country_code,X,fertility_rate_children_per_woman,carbon_dioxide_emissions,cell_subs_per_100,employment_to_pop_ratio,female_employment_to_pop_ratio,lowest_quint_income_share.csv,maternal_mortality,percent_children_malaria_nets,unmet_family_planning_need,urban_pop_in_slums,women_men_literacy_ratio,net_migration_per_1000
CIV,32,5.136,NA,106.2476093,NA,NA,NA,NA,37.2,22.2,56.03,0.664295139,-2.272
CMR,33,4.95,NA,75.6851331,NA,NA,NA,NA,21,23.5,37.76,NA,-0.578
COD,34,6.4,NA,53.49321638,NA,NA,NA,NA,55.8,27.7,74.8,NA,-0.146
COG,35,4.86,NA,108.1495742,NA,NA,NA,NA,26.3,18.2,46.9,NA,4.731
COK,219,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
COL,36,1.934,NA,113.0820753,59.6,51,3.3,NA,NA,8,13.1,NA,-0.641
COM,37,4.6,NA,50.90120382,NA,NA,NA,NA,41.1,31.6,69.6,1.00237,-3.074
CPV,38,2.497,NA,121.7897017,NA,NA,NA,NA,NA,16.7,NA,1.005377318,-7.216
CRI,39,1.851,NA,143.8283795,54.7,40.6,4.21,2.7,NA,7.6,5.5,NA,1.38
CUB,40,1.706,NA,22.47839584,NA,NA,NA,43.1,NA,8,NA,0.99996,-3.161
CYM,203,NA,NA,153.7483538,77.8,76.7,NA,NA,NA,NA,NA,NA,NA
CYP,41,1.38,7082.826233,96.33531011,53.3,50.6,NA,NA,NA,NA,NA,NA,10.963
CZE,42,1.479,111301.871,130.0334399,55.2,46.7,NA,NA,NA,4.3,NA,NA,4.826
DEU,43,1.427,821717.6929,120.4189829,57.1,51.9,NA,NA,NA,NA,NA,NA,0.106
DJI,44,3.1,NA,32.38686559,NA,NA,NA,NA,19.9,NA,65.6,NA,-0.367
DMA,204,7.599,NA,127.4519291,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,45,1.73,40798.82417,125.9578234,58,54.6,NA,NA,NA,NA,NA,NA,3.206
DOM,47,2.526,NA,78.86382636,54.6,39.7,NA,159,NA,10.8,12.1,1.015396651,-3.214
DOM,46,2.526,NA,78.86382636,54.6,39.7,NA,159,NA,10.8,12.1,1.015026246,-3.214
DZA,48,2.96,NA,93.31075022,NA,NA,NA,NA,NA,10.4,NA,NA,-2.059
ECU,49,2.586,NA,103.8991648,59.5,45.2,4.3,96.3,NA,7.4,36,1.001228164,-0.628
